hand_x,hand_y,hand_z,hand_rot_x,hand_rot_y,hand_rot_z,elbow_x,elbow_y,elbow_z,elbow_rot_x,elbow_rot_y,elbow_rot_z
-0.7160114,1.432121,0.4974499,311.552,6.445415,25.10364,-0.8017534,1.383691,0.1969931,5.562976,227.1432,93.18592
-0.7098159,1.440485,0.4973408,311.1195,5.623363,27.3082,-0.7717584,1.407037,0.2071569,4.99504,230.5317,98.08568
-0.7064976,1.444661,0.4973407,310.9565,5.293782,28.48551,-0.7717263,1.407003,0.2070897,4.998367,230.5195,98.09471
-0.6947027,1.456943,0.4971402,310.6895,5.465966,31.59473,-0.7518314,1.420797,0.2109481,4.494066,232.4898,101.2915
-0.674143,1.471781,0.4978887,311.0781,8.299929,33.90927,-0.7371496,1.430775,0.213145,4.082658,233.8753,103.6396
-0.6620599,1.478787,0.4981629,311.4082,10.56267,33.21898,-0.7371989,1.43079,0.213174,4.074737,233.8809,103.6489
-0.6424941,1.489412,0.4976215,311.3796,14.13813,30.22239,-0.7151083,1.444696,0.2155173,3.308637,235.8965,106.9844
-0.6037368,1.512033,0.4923819,309.3605,19.45642,22.22001,-0.7026027,1.452103,0.2162979,2.818213,237.0319,108.8242
-0.6037368,1.512033,0.4923819,309.3605,19.45642,22.22001,-0.7025942,1.45207,0.2162558,2.811149,237.0333,108.8252
-0.572714,1.531202,0.4840949,306.0665,21.66493,17.97567,-0.6765364,1.466187,0.2168422,1.517026,239.2237,112.5821
-0.5600885,1.538362,0.4803706,304.9013,22.83695,16.94604,-0.6601034,1.473231,0.2159685,0.6589707,240.451,114.8398
-0.5396992,1.547958,0.4751167,304.0846,25.79129,15.19812,-0.6601013,1.473206,0.2159226,0.6500738,240.4496,114.8461
-0.5092539,1.558444,0.4679686,304.9019,31.98112,11.28919,-0.6421212,1.48088,0.2144561,359.5771,241.8014,117.3213
-0.4931666,1.562635,0.464777,305.8763,35.39805,9.031963,-0.627319,1.486455,0.2129815,358.6742,242.9312,119.2927
-0.4682397,1.568001,0.4589096,307.1884,40.87432,4.790828,-0.6273392,1.486379,0.2129567,358.6765,242.9384,119.2834
-0.4433624,1.572749,0.4518193,307.9112,46.79288,358.398,-0.6036359,1.493929,0.2098287,357.1524,244.7402,122.2592
-0.401754,1.579996,0.436042,308.4941,57.87471,343.6896,-0.6036536,1.493841,0.2097558,357.1558,244.746,122.256
-0.3773897,1.582795,0.4259535,309.6413,64.30525,335.4759,-0.5799719,1.49892,0.2054905,355.6534,246.5428,124.953
-0.3612804,1.58408,0.4196825,310.8169,67.97182,331.0179,-0.5629653,1.501373,0.2020285,354.564,247.8265,126.6813
-0.3380452,1.585624,0.4108762,312.8395,72.24716,326.097,-0.5629822,1.501328,0.2020043,354.5636,247.8233,126.6621
-0.3229854,1.586321,0.4052165,314.0685,74.33814,324.1276,-0.5333468,1.503122,0.1945046,352.3961,249.8896,129.2554
-0.2942984,1.587561,0.3946151,315.8818,77.36435,322.4116,-0.5336643,1.503062,0.1943222,352.4167,249.9566,129.2643
-0.2804192,1.588041,0.3895143,316.4751,78.22929,322.3135,-0.5162402,1.50244,0.1888046,351.0154,251.1871,130.6404
-0.25286,1.587621,0.3790022,317.9188,79.69563,320.2268,-0.4975334,1.500811,0.1822776,349.4083,252.6373,131.9938
-0.2387567,1.586652,0.3731924,318.9441,80.41312,318.3831,-0.4978009,1.500575,0.1824337,349.3916,252.6707,132.0132
-0.2171631,1.584057,0.3641179,320.9353,81.3082,315.9556,-0.4818476,1.497871,0.1765313,347.9446,253.9096,132.9351
-0.2024827,1.581741,0.3575737,322.3314,82.30408,314.0015,-0.4683355,1.494697,0.1712772,346.6143,255.1285,133.6933
-0.1745728,1.576182,0.341639,324.8358,85.43118,309.9114,-0.4683105,1.494675,0.1712396,346.6176,255.1302,133.6868
-0.1551055,1.571358,0.3282288,326.351,88.35899,308.0864,-0.4519118,1.490224,0.1642365,344.871,256.5728,134.5043
-0.1367904,1.566343,0.3140746,327.6108,91.42939,307.2677,-0.4519457,1.490222,0.1642239,344.8653,256.566,134.5102
